product_id,product_name,category,price,rating,review_count,stock,brand,features,image_url
PROD-AUD-001,SonicPulse Pro Wireless ANC Headphones,Headphones,4799.0,4.6,1420,45,SonicPulse,"[""Active Noise Cancellation"", ""60 Hours Battery Life"", ""Bluetooth 5.3"", ""Fast Charging 10min=5hr"", ""Multipoint Connect"", ""Ultra-comfortable Memory Foam""]",https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500&q=80
PROD-AUD-002,SoundMax Over-Ear Wireless 50H,Headphones,3899.0,4.4,980,60,SoundMax,"[""50 Hours Battery Life"", ""Deep Bass Boost"", ""Bluetooth 5.2"", ""Foldable Design"", ""Built-in Mic"", ""Voice Assistant Support""]",https://images.unsplash.com/photo-1583394838336-acd977736f90?w=500&q=80
PROD-AUD-003,AeroBeats Elite ANC Wireless,Headphones,4999.0,4.5,1150,30,AeroBeats,"[""Hybrid Active Noise Cancellation"", ""45 Hours Battery Life"", ""Low Latency Gaming Mode"", ""Transparency Mode"", ""Custom EQ App""]",https://images.unsplash.com/photo-1484704849700-f032a568e944?w=500&q=80
PROD-AUD-004,boAt Rockerz 550 Over-Ear,Headphones,1999.0,4.1,5200,120,boAt,"[""20 Hours Battery"", ""50mm Dynamic Drivers"", ""Physical Noise Isolation"", ""Bluetooth 5.0"", ""Plush Earpads""]",https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=500&q=80
PROD-AUD-005,Sony WH-1000XM4 Flagship ANC,Headphones,22990.0,4.8,3400,18,Sony,"[""Industry-leading ANC"", ""30 Hours Battery Life"", ""Touch Sensor Controls"", ""Speak-to-Chat"", ""LDAC Hi-Res Audio""]",https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500&q=80
PROD-AUD-006,JBL Tune 760NC Lightweight ANC,Headphones,4999.0,4.3,890,25,JBL,"[""Active Noise Cancelling"", ""35 Hours Battery with ANC"", ""JBL Pure Bass Sound"", ""Lightweight & Foldable""]",https://images.unsplash.com/photo-1577174881658-0f30ed549adc?w=500&q=80
PROD-AUD-007,boAt Airdopes 141 ANC TWS,Headphones,1499.0,4.0,8400,150,boAt,"[""42 Hours Playback"", ""ENx Tech Mic"", ""Low Latency Beast Mode"", ""IPX5 Sweat Resistance"", ""Type-C Fast Charge""]",https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500&q=80
PROD-AUD-008,Sennheiser HD 450BT Wireless ANC,Headphones,7990.0,4.5,670,20,Sennheiser,"[""Active Noise Cancellation"", ""30 Hours Battery"", ""AAC and AptX Low Latency"", ""USB-C Fast Charging"", ""Podcast Mode""]",https://images.unsplash.com/photo-1545127398-14699f92334b?w=500&q=80
PROD-AUD-009,OnePlus Bullets Wireless Z2 ANC,Headphones,2299.0,4.3,4100,85,OnePlus,"[""45dB Hybrid ANC"", ""28 Hours Battery Life"", ""10 Min Charge for 20 Hours"", ""12.4mm Drivers"", ""IP55 Rating""]",https://images.unsplash.com/photo-1606220588913-b3aacb4d2f46?w=500&q=80
PROD-AUD-010,Realme Buds Air 5 Pro ANC,Headphones,4699.0,4.4,1320,40,Realme,"[""50dB Active Noise Cancellation"", ""40 Hours Playback"", ""Hi-Res Audio LDAC"", ""Spatial Audio Effect"", ""40ms Super Low Latency""]",https://images.unsplash.com/photo-1598331668826-20cecc596b86?w=500&q=80
PROD-LAP-001,Lenovo IdeaPad Slim 3 15.6 Core i5,Laptops,48990.0,4.3,640,22,Lenovo,"[""Intel Core i5 12th Gen"", ""16GB DDR4 RAM"", ""512GB NVMe SSD"", ""FHD IPS Antiglare"", ""Backlit Keyboard"", ""Windows 11 Home"", ""Fast Charging""]",https://images.unsplash.com/photo-1588872657578-7efd1f1555ed?w=500&q=80
PROD-LAP-002,ASUS Vivobook 15 Ryzen 7 Thin & Light,Laptops,56990.0,4.5,510,16,ASUS,"[""AMD Ryzen 7 7730U"", ""16GB RAM"", ""512GB SSD"", ""Fingerprint Sensor"", ""180-degree Hinge"", ""Fast Charging 60% in 49min"", ""Great for Coding""]",https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=500&q=80
PROD-LAP-003,HP Pavilion 14 13th Gen Intel i5,Laptops,59990.0,4.4,420,14,HP,"[""Intel Core i5-1335U"", ""16GB DDR4 RAM"", ""512GB SSD"", ""Audio by B&O"", ""FHD Micro-edge Display"", ""Fast Charge"", ""Backlit Keyboard""]",https://images.unsplash.com/photo-1531297484001-80022131f5a1?w=500&q=80
PROD-LAP-004,Acer Aspire Lite AMD Ryzen 5,Laptops,38990.0,4.2,310,28,Acer,"[""AMD Ryzen 5 5500U"", ""16GB RAM"", ""512GB SSD"", ""Full HD Display"", ""Metal Cover"", ""1.59kg Light"", ""Student Friendly""]",https://images.unsplash.com/photo-1603302576837-37561b2e2302?w=500&q=80
PROD-LAP-005,Apple MacBook Air M2 13.6-inch,Laptops,94900.0,4.9,1820,10,Apple,"[""Apple M2 Chip 8-core CPU"", ""8GB Unified Memory"", ""256GB SSD"", ""Liquid Retina Display"", ""18 Hours Battery Life"", ""MagSafe 3""]",https://images.unsplash.com/photo-1517336714731-489689fd1ca8?w=500&q=80
PROD-LAP-006,Dell Inspiron 3520 Intel i5 12th Gen,Laptops,49990.0,4.3,480,19,Dell,"[""Intel Core i5-1235U"", ""16GB RAM"", ""512GB SSD"", ""120Hz FHD Display"", ""ExpressCharge 80% in 60min"", ""Spill-resistant Keyboard""]",https://images.unsplash.com/photo-1541807084-5c52b6b3adef?w=500&q=80
PROD-PHN-001,OnePlus Nord CE 4 5G 8GB/128GB,Smartphones,24999.0,4.5,2100,35,OnePlus,"[""Snapdragon 7 Gen 3"", ""100W SUPERVOOC Fast Charge"", ""5500mAh Battery"", ""50MP Sony LYT-600 OIS"", ""120Hz AMOLED""]",https://images.unsplash.com/photo-1511707171634-5f897ff02aa9?w=500&q=80
PROD-PHN-002,Redmi Note 13 Pro 5G 8GB/256GB,Smartphones,23999.0,4.3,3400,40,Xiaomi,"[""200MP OIS Camera"", ""1.5K 120Hz Curved AMOLED"", ""Snapdragon 7s Gen 2"", ""67W Turbo Charge"", ""Corning Gorilla Glass Victus""]",https://images.unsplash.com/photo-1598327105666-5b89351aff97?w=500&q=80
PROD-PHN-003,Samsung Galaxy M34 5G 8GB/128GB,Smartphones,17499.0,4.2,4800,50,Samsung,"[""6000mAh Monster Battery"", ""120Hz Super AMOLED Display"", ""50MP No Shake Cam (OIS)"", ""4 Gen OS Upgrades""]",https://images.unsplash.com/photo-1610945415295-d9bbf067e59c?w=500&q=80
PROD-PHN-004,Apple iPhone 15 128GB Black,Smartphones,71990.0,4.8,2890,15,Apple,"[""Dynamic Island"", ""48MP Main Camera 2x Telephoto"", ""A16 Bionic Chip"", ""USB-C Connector"", ""All-day Battery Life""]",https://images.unsplash.com/photo-1510557880182-3d4d3cba35a5?w=500&q=80
PROD-PHN-005,Motorola Edge 50 Fusion 5G,Smartphones,22999.0,4.6,1850,25,Motorola,"[""Sony LYTIA 700C Camera OIS"", ""144Hz 3D Curved pOLED"", ""IP68 Underwater Protection"", ""68W TurboPower"", ""Vegan Leather Finish""]",https://images.unsplash.com/photo-1580910051074-3eb694886505?w=500&q=80
PROD-WAT-001,Noise ColorFit Pro 5 Max AMOLED,Wearables,3499.0,4.3,1650,70,Noise,"[""1.96-inch AMOLED Display"", ""BT Calling with Tru Sync"", ""Emergency SOS"", ""100+ Sports Modes"", ""7 Days Battery Life""]",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500&q=80
PROD-WAT-002,Fire-Boltt Invincible Plus AMOLED Smartwatch,Wearables,4299.0,4.4,1200,40,Fire-Boltt,"[""1.43-inch AMOLED 60Hz"", ""4GB Inbuilt Storage for Music"", ""TWS Connection"", ""Bluetooth Calling"", ""300+ Sports Modes""]",https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=500&q=80
